Sample,midx,midy,midz,Chalcocite-Digenite,Covellite,Chalcopyrite,Bornite,Pyrite,Quartz,K-Feldspar,Albite,Muscovite/Sericite,Clays,Biotite,Chlorite,Calcite,Gypsum/Anhydrite,SG,minzone,alteration,Ai
S-554,1735.71,3822.52,3967.43,0.1,0.03,0.84,0.01,0.71,29.28,5.85,15.8,10.75,0.25,6.48,1.7,0.01,0.01,2.63,SSF,POT,0.19
S-1094,1835.95,4311.49,4312.87,0.361534238,0.03,1.3,0.057969923,0.01,26.32,9.83,40.25,5.25,0.58,7.24,2.04,0.02,0.07,2.53,SSF,POT,0.27
S-501,2982.08,3721.6,4051.83,0.19,0.02,0.96,0.99,0.02,29.04,22.61,22.62,3.43,1.17,4.74,0.71,0.13,3.36,2.7,PRI,POT,0.51
S-1257,2651.93,3462.46,3804.51,0.03,0,0.7,0.64,0.02,24.27,20.81,18.15,2.63,0.45,6.5,0.71,0.06,3.08,2.67,PRI,POT,0.38
S-1138,3475.05,4188.13,4330.87,0.097170528,0.01,2.4,0.052819601,4.1,23.45,9.51,25.03,7.16,0.62,6.8,1.97,0.08,2.85,2.69,PRI,POT,0.46
S-1020,1549.56,3789.98,3954.82,0.096416257,0.03,0.88,0.042522236,0.5,26.88,8.36,11.93,8.99,0.9,7.02,2.14,0.01,0.05,2.62,SSF,POT,0.31
S-1088,2430.33,3987.03,4010.54,0.022372507,0,0.75,0.790169179,0.05,16.57,12.31,38.59,2.18,0.48,11.82,1.12,0.05,4.8,2.68,PRI,POT,0.41
S-431,1684.94,3900.23,4062.43,0.64,0.1,0.49,0.03,0.33,28.04,4.55,19.54,12.99,1.05,6.65,1.7,0.01,0.04,2.62,SSF,POT,0.17
S-1248,3893.53,3812.33,4274.41,0.37,0.04,1.47,0.15,0.95,30.07,7.37,31.51,15.09,0.22,4.62,1.1,0,0.06,2.54,SSF,POT,0.2
S-722,1832.46,3877.1,3973.29,0.12,0.02,0.6,0.06,0.67,26.57,5.08,13.24,8.48,0.77,6.81,1.56,0.01,0.01,2.61,SSF,POT,0.19
S-427,2945.79,3839.34,4103.85,0.03,0,0.85,0.57,0.01,28.24,18.9,21.89,1.8,0.62,5.96,0.78,0.09,3.72,2.67,PRI,POT,0.34
S-456,3029.5,3818.06,4104.39,0.02,0,1.24,0.34,0.01,25.81,17.97,23.58,1.83,0.55,4.53,0.47,0.05,3.02,2.68,PRI,POT,0.43
