Chalcocite-Digenite,K-Feldspar,minzone,alteration,Ai
0.1,5.85,SSF,POT,0.19
0.361534238,9.83,SSF,POT,0.27
0.19,22.61,PRI,POT,0.51
0.03,20.81,PRI,POT,0.38
0.097170528,9.51,PRI,POT,0.46
0.096416257,8.36,SSF,POT,0.31
0.022372507,12.31,PRI,POT,0.41
0.64,4.55,SSF,POT,0.17
0.37,7.37,SSF,POT,0.2
0.12,5.08,SSF,POT,0.19
0.03,18.9,PRI,POT,0.34
0.02,17.97,PRI,POT,0.43
0.71,6.38,SSF,POT,0.1
0,2.66,SSF,CLO-SER,0.11
0.11,8.71,SSF,POT,0.2
0.16,6.4,SSF,POT,0.26
0.14,15.84,SSF,POT,0.29
0.02,19.95,PRI,POT,0.66
0.1,5.18,SSF,POT,0.24
0.01,10.25,PRI,POT,0.29
0.02,18.59,PRI,POT,0.33
0.79,9.57,SSF,POT,0.29
0.07,16.55,PRI,POT,0.4
0.01,20.47,PRI,POT,0.36
0.01,9.11,PRI,POT,0.34
0.03,19.67,SSD,POT,0.38
0.65,10.73,SSF,POT,0.23
0.21,17.43,SSF,POT,0.34
0.12,11.5,SSF,POT,0.23
0.62,29.6,SSF,POT,0.27
0.02,18.32,SSD,POT,0.34
0.01,15.91,PRI,CLO-SER,0.38
0.33,6.04,SSF,POT,0.23
0,12.12,PRI,POT,0.31
0.02,7.78,SSF,POT,0.28
0.59,10.3,SSF,POT,0.16
0.72,2.75,SSF,POT,0.21
0.14,13.54,SSD,POT,0.27
0.001330134,9.53,SSD,POT,0.49
0.023103699,19.24,PRI,POT,0.52
0.357835473,1.53,SSF,AR,0.16
0.02,11.76,SSD,POT,0.34
0.34,6.24,SSF,POT,0.21
0.95,2.09,SSF,POT,0.05
0.23,5.57,SSF,POT,0.28
0.01,19.07,PRI,POT,0.39
0.15,15.48,SSF,POT,0.26
0.27,10.77,SSD,POT,0.24
0.647954527,3.99,SSF,CLO-SER,0.17
0.33,13.73,SSF,POT,0.33
0.25,1.09,SSF,AR,0.12
0,34.37,PRI,POT,0.49
0.8,3.57,SSF,POT,0.18
0.03,19.45,PRI,POT,0.39
0.44,9.17,SSF,POT,0.18
0.01,14.8,PRI,POT,0.37
0.14,5.7,SSF,POT,0.16
0.008592283,27.42,PRI,POT,0.5
0.227375978,7.42,SSF,POT,0.32
0.090864715,26.68,PRI,POT,0.45
0.048535544,23.27,PRI,POT,0.38
0.48,3.43,SSF,POT,0.17
0.14,16.07,SSF,POT,0.29
0.02,22.59,PRI,POT,0.44
0.32,1.18,SSF,POT,0.08
0.36,14.8,SSF,POT,0.29
0.115946384,20.07,SSF,POT,0.36
0.28,18.02,SSF,POT,0.38
0.454271567,8.53,SSF,POT,0.27
0.024541503,12.31,PRI,POT,0.45
0.17,22.35,SSF,POT,0.32
0.052066246,21.09,PRI,POT,0.42
0.39,7.6,SSF,POT,0.21
0.27,5.77,SSF,POT,0.18
0.55,11.1,SSF,POT,0.22
0.43,7.39,SSF,POT,0.16
0.005235827,5.38,PRI,CLO-SER,0.44
0.41,19.9,SSF,POT,0.25
0.5,12.66,SSF,POT,0.27
0.01,16.71,PRI,POT,0.38
0.43,8.93,SSF,POT,0.19
0.014122628,11.64,SSD,POT,0.5
0.95,15.33,SSF,POT,0.26
0.04,16.27,SSF,POT,0.13
0.02,19.43,PRI,POT,0.37
0.00828461,1.87,SSD,POT,0.27
0.03,13.54,PRI,POT,0.41
0.008891779,5.33,SSF,POT,0.27
0.22,15.66,SSD,POT,0.34
0.01,23.55,PRI,POT,0.47
0.33,5.37,SSF,POT,0.19
0.16,18.35,SSF,POT,0.33
0.01,10.32,PRI,POT,0.34
0.000238421,4.06,PRI,POT,0.27
0.002732574,6.38,PRI,CLO-SER,0.43
0.17,18.29,SSF,POT,0.27
0.03,16.43,PRI,POT,0.43
0.1,17.87,SSF,POT,0.29
0.34,13.28,SSF,POT,0.32
0.73,6.58,SSF,POT,0.23
0.02,25.36,PRI,POT,0.4
0.28,6.33,PRI,POT,0.46
0.26,14.23,SSF,POT,0.35
0.37,4.97,SSF,POT,0.21
0.03,11.17,SSF,POT,0.22
0.01,8.23,SSD,POT,0.22
0.39,15.55,SSF,POT,0.26
0.02,9.34,SSF,POT,0.23
0.01,8.75,SSF,POT,0.22
0.01,8.23,SSD,POT,0.22
0.85,12.82,SSF,POT,0.22
0.02,17.34,SSD,POT,0.55
0.3,24.82,SSF,POT,0.16
0.01,17.73,PRI,POT,0.36
0.006382971,15.86,SSF,POT,0.38
0.48,10.91,SSF,POT,0.15
0.132585102,10.22,SSF,POT,0.3
0.148327376,6.83,SSF,POT,0.31
0.291309595,2.58,SSF,POT,0.14
0.01,19.41,PRI,POT,0.36
0.078920849,0.67,SSF,AR,0.12
0.008049004,13.12,PRI,POT,0.38
0.14,13.01,SSF,POT,0.22
0.47,11.52,SSF,POT,0.23
0.14,15.94,SSF,POT,0.3
0.87,7.23,SSF,POT,0.25
0.02,18.72,PRI,POT,0.4
0.22,8.5,PRI,POT,0.33
0.01,16.8,PRI,POT,0.43
0.05,17.79,PRI,POT,0.54
0.2,3.46,SSF,POT,0.11
0.3,13.94,SSF,POT,0.36
0.02,32.66,PRI,POT,0.44
0,5.74,PRI,CLO-SER,0.27
0.1,13.84,SSF,POT,0.26
0.22,17.43,SSD,POT,0.33
1.04,6.78,SSF,AR,0.1
0.49,19.91,SSF,POT,0.33
0,16.26,SSD,POT,0.37
0.28,10.01,SSF,POT,0.25
0.02,6.58,SSF,POT,0.26
0.33,10.61,SSF,POT,0.26
0.21,14.45,SSF,POT,0.26
0.26,4.42,SSF,POT,0.18
0.13,19.1,SSF,POT,0.4
0.06,17.56,SSD,POT,0.36
0.49,9.44,SSD,POT,0.27
0.28,6.72,SSF,POT,0.19
0.08,14.32,SSF,POT,0.2
0.01,16.47,SSF,POT,0.46
0.02,10.29,PRI,POT,0.37
0.27,14.03,SSF,POT,0.34
0.310739599,2.11,SSF,POT,0.25
0.02,17.76,PRI,POT,0.34
