Sample,midx,midy,midz,East,North,elevation,Chalcocite-Digenite,Covellite,Chalcopyrite,Bornite,Pyrite,Enargite,Sphalerite,Quartz,K-Feldspar,Albite,Muscovite/Sericite,Clays,Biotite,Chlorite,Calcite,Gypsum/Anhydrite,SG,lithology,minzone,alteration,Ai
S-1,2633.43,4093.26,4229.29,2633.43,4093.26,4229.29,0.27,0.04,0.44,0.04,1.9,0,0.01,25.21,10.77,26.64,4.55,0.98,5,3.89,0.02,0.03,2.57,porphyry,SSD,POT,0.24
S-2,3174.64,4102.54,4397.24,3174.64,4102.54,4397.24,0.22,0.03,0.65,0.15,0.32,0,0.01,19.67,15.66,39.58,1.88,0.82,4.73,1.57,0,0.02,2.54,porphyry,SSD,POT,0.34
S-3,3639.77,3964.59,4335.38,3639.77,3964.59,4335.38,0.02,0,0.98,0.24,0.15,0,0.01,23.94,11.76,26.06,3.5,0.59,10.52,2.05,0.06,4.69,2.8,porphyry,SSD,POT,0.34
S-4,3472.25,3585.28,4162.92,3472.25,3585.28,4162.92,0.01,0,1.37,0.2,0.54,0,0.01,28.61,8.23,18.1,5.57,0.29,8.07,2.71,0.02,0.06,2.6,porphyry,SSD,POT,0.22
S-5,3496.34,3345.2,4219.62,3496.34,3345.2,4219.62,0.12,0.02,0.92,0.33,0.5,0,0.01,34.63,4.35,21.78,9.09,0.47,5.59,2.76,0.03,0.02,2.62,porphyry,SSF,CLO-SER,0.22
S-6,3422.31,3340.54,4097.37,3422.31,3340.54,4097.37,0.01,0,1.11,0.19,0.71,0,0.01,38.1,8.58,16.67,7.75,0.28,5.59,1.19,0.07,3.26,2.73,porphyry,PRI,CLO-SER,0.39
S-7,2960.89,4006.04,4370.95,2960.89,4006.04,4370.95,0.02,0,0.95,0.36,0.2,0,0.01,26.12,17.77,26.43,1.47,0.32,6.46,1.25,0.08,2.2,2.63,porphyry,SSD,POT,0.33
S-8,3276.93,4168.03,4513.87,3276.93,4168.03,4513.87,0.01,0,2.14,0,0.87,0,0.01,33.71,4.2,29.49,7.69,0.62,3.28,2.21,0.6,2.56,2.67,porphyry,SSD,POT,0.37
S-9,2108.57,3467.43,3924.3,2108.57,3467.43,3924.3,0.01,0,1.65,0.09,0.04,0,0.01,33.3,8.23,39.76,8.16,0.17,5.26,1.09,0,0.03,2.59,porphyry,SSD,POT,0.22
S-10,2780.8,3951.82,4238.5,2780.8,3951.82,4238.5,0.04,0.01,1.93,0.58,0.09,0,0.01,36.21,20.96,20.49,6.07,1.36,3.14,1.45,0.09,1.47,2.73,porphyry,SSD,POT,0.31
S-11,3003,4055.35,4364.15,3003,4055.35,4364.15,0.03,0.03,2.86,0.62,0.03,0,0.01,38.75,19.67,15.04,4.56,1.32,1.71,1.96,0.08,5.39,2.67,porphyry,SSD,POT,0.38
S-12,2709,4068.89,4262.09,2709,4068.89,4262.09,0.24,0.02,0.58,0.12,0.19,0,0.01,25.85,11.09,32.86,1.76,1.16,6.05,1.27,0,0.04,2.57,porphyry,SSD,POT,0.22
S-13,3314.34,3250.03,4195.53,3314.34,3250.03,4195.53,0.2,0.03,0.89,0.12,0.96,0,0.01,34.39,13.25,33.85,2.97,0.76,4.16,1.52,0.02,0.1,2.64,porphyry,SSD,CLO-SER,0.09
S-14,1982.04,3500.28,3897.41,1982.04,3500.28,3897.41,0.49,0.06,0.44,0.12,0.01,0,0.01,28.35,9.44,44.55,0.78,1.01,5.75,1.42,0.03,0.08,2.57,porphyry,SSD,POT,0.27
S-15,3036.27,4055.14,4302.32,3036.27,4055.14,4302.32,0.11,0.03,1.23,0.04,1.32,0,0.01,39.75,8.81,20.98,17.31,0.91,1.7,1.79,0.04,0.17,2.78,porphyry,SSD,POT,0.41
S-16,3687.87,3890.31,4260.28,3687.87,3890.31,4260.28,0.02,0.01,1.71,0.16,0.16,0,0.01,33.59,12.89,28.5,4.61,1.29,3.94,1.65,0.13,5.67,2.67,porphyry,SSD,POT,0.42
S-17,4027.81,3362.67,4658.81,4027.81,3362.67,4658.81,0.13,0.13,1.04,0,5,0,0.01,38.23,1.52,14.13,24.02,0.64,1.46,5.54,0.01,0.07,2.61,porphyry,SSD,AR,0.15
S-18,4028.65,3373.1,4720.93,4028.65,3373.1,4720.93,0.16,0.03,0.68,0,5.98,0,0.01,32.84,2.25,19.24,17.7,0.7,2.32,4.32,0.01,0.25,2.61,porphyry,SSD,AR,0.2
S-19,4082.77,3555.33,4705.64,4082.77,3555.33,4705.64,0.02,0.01,0.36,0,3.88,0,0.01,28.53,2.23,26.54,19.81,0.48,3.05,3.78,0.04,0.09,2.6,porphyry,SSF,AR,0.13
S-20,4085.35,3498.91,4676.32,4085.35,3498.91,4676.32,0.25,0.06,0.41,0,5.1,0,0.01,34.29,1.09,15.61,18.88,0.49,1.53,6.15,0.03,0.09,2.64,porphyry,SSF,AR,0.12
S-21,4090.4,3504.14,4710.55,4090.4,3504.14,4710.55,0.16,0.01,0.42,0.01,3.29,0,0.01,27.25,1.2,9.08,10.59,0.38,6.67,5.97,0.04,0.26,2.62,porphyry,SSF,AR,0.17
S-22,2683.1,3964.69,4179.95,2683.1,3964.69,4179.95,0,0,1.34,0.07,1.08,0,0.01,24.7,16.26,23.67,7.66,0.98,3.14,1.54,0.04,2.78,2.66,porphyry,SSD,POT,0.37
S-23,3421.42,3378.18,4222.7,3421.42,3378.18,4222.7,0,0,1.17,0,2.01,0,0.01,26.3,5.54,18.64,12.36,0.25,5.15,1.71,0.11,1.81,2.69,porphyry,SSD,POT,0.3
S-24,4083.47,3404.15,4683.57,4083.47,3404.15,4683.57,0.19,0.08,1.01,0.01,6.49,0,0.01,38.93,1.25,15.12,24.17,0.45,1.1,4.43,0.01,0.09,2.65,porphyry,SSF,AR,0.17
S-25,3261.02,3293.18,4122.62,3261.02,3293.18,4122.62,0,0,2.49,0,1.92,0,0.01,37.38,4.14,15.28,24.46,0.4,2.8,1.62,0.01,0.06,2.64,porphyry,SSD,CLO-SER,0.2
S-26,3270.46,3279.98,4159.18,3270.46,3279.98,4159.18,0,0,2.87,0,1.1,0,0.01,25.1,2.66,12.75,21.81,0.52,10.64,2.97,0.01,0.04,2.66,porphyry,SSF,CLO-SER,0.11
S-27,3270.46,3279.98,4159.18,3270.46,3279.98,4159.18,0,0,2.85,0,0.76,0,0.01,26.22,2.1,11.62,22.8,0.53,10.12,3.34,0.03,0.16,2.66,porphyry,SSF,CLO-SER,0.12
S-28,3308.45,3627.34,4148.16,3308.45,3627.34,4148.16,0.01,0,1.38,0.32,0.01,0,0.01,29.05,16.67,19.2,5.45,0.63,4.41,1.03,0.08,2.86,2.63,porphyry,SSD,POT,0.45
S-29,3276.81,3234.14,4171.61,3276.81,3234.14,4171.61,0,0,0.82,0,5.13,0,0.01,27.1,6.45,17.78,15.87,0.93,5.1,2.11,0.01,0.03,2.66,porphyry,SSD,POT,0.3
S-30,3276.81,3234.14,4171.61,3276.81,3234.14,4171.61,0,0,0.82,0,5.13,0,0.01,27.1,6.45,17.78,15.87,0.93,5.1,2.11,0.01,0.03,2.66,porphyry,SSD,POT,0.28
S-31,3477.65,4406.88,4582.92,3477.65,4406.88,4582.92,0.22,0.01,1.33,0.21,0.05,0,0.01,28.37,17.43,27.25,3.76,0.31,4.4,0.86,0,0.01,2.56,porphyry,SSD,POT,0.33
S-32,2734.05,3938.28,4189.61,2734.05,3938.28,4189.61,0.03,0,1.07,0.1,0.7,0,0.01,26.6,16.64,25,4.93,0.45,4.13,0.8,0.02,1.14,2.68,porphyry,SSD,POT,0.37
S-33,2734.05,3938.28,4189.61,2734.05,3938.28,4189.61,0.03,0,1.07,0.1,0.7,0,0.01,26.6,16.64,25,4.93,0.45,4.13,0.8,0.02,1.14,2.67,porphyry,SSD,POT,0.37
S-34,3237.94,3367.24,4171.41,3237.94,3367.24,4171.41,0.01,0,1.81,0.05,0.47,0,0.01,33.37,8.08,18.12,12.96,0.32,4.27,1.59,0,0.02,2.59,porphyry,SSF,CLO-SER,0.26
S-35,4083.63,3391.65,4711.93,4083.63,3391.65,4711.93,0.14,0.05,1.16,0.04,4.52,0,0.01,36.67,1.36,20.06,21.63,0.62,1.29,5.95,0,0.05,2.58,porphyry,SSF,AR,0.16
S-36,3363.21,3188.42,4196.95,3363.21,3188.42,4196.95,0.01,0,1.26,0.01,4.14,0,0.01,29.77,4.16,8.99,16.88,0.95,6.77,2.71,0.01,0.09,2.68,porphyry,SSD,CLO-SER,0.16
S-37,3320.07,3196.81,4194.65,3320.07,3196.81,4194.65,0.09,0.02,1.03,0.05,4.45,0,0.01,26.58,6.79,17.38,16.3,0.77,5.97,2.51,0.08,0.07,2.72,porphyry,SSD,CLO-SER,0.3
S-38,3234.1,3243.73,4133.82,3234.1,3243.73,4133.82,0,0,2.55,0.01,0.52,0,0.01,18.97,1.86,8.28,12.51,0.44,13.23,3.04,0.02,0.07,2.71,porphyry,SSD,POT,0.22
S-39,3249.22,3930.86,4217.73,3249.22,3930.86,4217.73,0.02,0.01,0.72,0.32,0.02,0,0.01,24.54,16.86,25.57,1.13,0.27,6.17,0.49,0.05,4.79,2.66,porphyry,SSD,POT,0.53
S-40,3249.22,3930.86,4217.73,3249.22,3930.86,4217.73,0.01,0,0.73,0.32,0.03,0,0.01,26.57,16.71,24.05,1.65,0.41,6.41,0.55,0.06,2.84,2.67,porphyry,SSD,POT,0.52
S-41,4185.9,3467.93,4659.56,4185.9,3467.93,4659.56,0.59,0.04,0.39,0.02,4.85,0,0.01,31.27,0.95,4,17.35,0.95,4.68,10.23,0.01,0.12,2.61,porphyry,SSF,AR,0.08
S-42,3323.04,3981.41,4236.77,3323.04,3981.41,4236.77,0,0,0.82,0.18,0.02,0,0.01,27.04,15.25,21.9,1.01,0.24,5.91,0.68,0.12,3.11,2.65,porphyry,SSD,POT,0.52
S-43,3257.67,3948.47,4222.64,3257.67,3948.47,4222.64,0.02,0,0.53,0.37,0.01,0,0.01,27.12,17.34,23.17,1.29,0.43,5.53,0.56,0.06,3.38,2.64,porphyry,SSD,POT,0.55
S-44,4049.53,3319.04,4699.5,4049.53,3319.04,4699.5,0.62,0.04,0.68,0.05,2.97,0,0.01,32.29,1.66,11.12,20.02,0.66,3.71,7.16,0,0.04,2.64,porphyry,SSF,AR,0.12
S-45,3136.56,3603.41,4055.82,3136.56,3603.41,4055.82,0.06,0.03,0.57,0.69,0.02,0,0.01,24.85,17.56,19.85,3.87,0.69,5.54,1.14,0.11,4.02,2.68,porphyry,SSD,POT,0.38
S-46,3136.56,3603.41,4055.82,3136.56,3603.41,4055.82,0.06,0.03,0.57,0.69,0.02,0,0.01,24.85,17.56,19.85,3.87,0.69,5.54,1.14,0.11,4.02,2.68,porphyry,SSD,POT,0.36
S-47,3009.02,3106.58,4005.98,3009.02,3106.58,4005.98,0,0,3.15,0.01,0.52,0,0.01,36.55,6.02,14.28,21.06,0.51,4.29,1.09,0.08,0.84,2.66,porphyry,PRI,CLO-SER,0.21
S-48,3062.92,3832.44,4142.76,3062.92,3832.44,4142.76,0.03,0,0.56,0.65,0.15,0,0.01,23.57,17.71,27.3,1.95,0.56,5.01,0.84,0.08,2.12,2.68,porphyry,SSD,POT,0.42
S-49,3007.59,4024.61,4330.49,3007.59,4024.61,4330.49,0.06,0.03,0.68,0.27,0.09,0,0.01,23.97,16.98,30.1,2.08,0.93,5.59,0.68,0.22,0.04,2.56,porphyry,SSD,POT,0.3
S-50,2983.06,3844.06,4159.96,2983.06,3844.06,4159.96,0.03,0.01,0.8,0.51,0.29,0,0.01,28.13,19.29,20.39,3.2,0.67,5.71,0.87,0.05,2.97,2.65,porphyry,SSD,POT,0.31
S-51,2986.27,3827.92,4139.82,2986.27,3827.92,4139.82,0.08,0.01,0.69,0.64,0.09,0,0.01,29.85,21.62,21.03,2.41,0.73,5.17,0.68,0.09,2.96,2.65,porphyry,SSD,POT,0.33
S-52,3265.16,3811.03,4165.8,3265.16,3811.03,4165.8,0.05,0,0.61,0.71,0.01,0,0.01,28.2,19.99,26.08,2.78,0.34,6.53,0.77,0.09,3.31,2.69,porphyry,SSD,POT,0.45
S-53,3276.81,3236.86,4152.3,3276.81,3236.86,4152.3,0.12,0.01,0.99,0.02,6.36,0,0.01,28.95,6.21,11.33,20.29,2.86,5.38,1.22,0,0.06,2.74,porphyry,SSD,POT,0.13
S-54,3273.97,3275.13,4172.38,3273.97,3275.13,4172.38,0,0,2.86,0.01,0.85,0,0.01,14.15,2.46,8.24,9.94,0.64,9.9,3.75,0.02,0.07,2.76,porphyry,SSF,CLO-SER,0.12
S-55,3255.05,3301.52,4099.27,3255.05,3301.52,4099.27,0,0,1.63,0.01,0.48,0,0.01,30.09,8.36,16.7,16.34,1.08,4.02,1.36,0,0.01,2.62,porphyry,SSD,CLO-SER,0.22
S-56,3248.5,3310.59,4073.6,3248.5,3310.59,4073.6,0,0,1.27,0,1.41,0,0.01,27.35,7.31,13.43,10.28,0.76,4.83,1.44,0,0.02,2.64,porphyry,SSD,CLO-SER,0.29
S-57,3247.08,3312.54,4068.11,3247.08,3312.54,4068.11,0,0,1.49,0.01,0.1,0,0.01,31.11,8.19,13.79,11.34,0.66,4.48,0.81,0.02,0.03,2.61,porphyry,SSD,CLO-SER,0.28
S-58,3239.95,3322.3,4040.65,3239.95,3322.3,4040.65,0.01,0,2.39,0.11,0.14,0,0.01,41.09,15.91,26.25,9.9,0.66,0.25,0.32,0.07,1.29,2.64,porphyry,PRI,CLO-SER,0.38
S-59,4021.73,3310.79,4626.61,4021.73,3310.79,4626.61,0.12,0.03,1.25,0.15,5.56,0,0.01,24.4,3.95,14.66,17.55,1.21,2.2,5.08,0,0.17,2.65,porphyry,SSF,AR,0.11
S-60,2160.87,3382.47,3888.87,2160.87,3382.47,3888.87,0.01,0,2.36,0.19,0.02,0,0.01,25.8,18.18,32.02,5.62,0.53,5.69,0.54,0.01,0.2,2.53,porphyry,SSD,POT,0.25
S-61,3259.97,3294.66,4118.5,3259.97,3294.66,4118.5,0,0,1.81,0,1.54,0,0.01,35.99,6.83,15.7,21.21,0.76,3.1,0.94,0.01,0.15,2.6,porphyry,SSD,CLO-SER,0.2
S-62,3259.97,3294.66,4118.5,3259.97,3294.66,4118.5,0,0,1.81,0,1.54,0,0.01,35.99,6.83,15.7,21.21,0.76,3.1,0.94,0.01,0.15,2.6,porphyry,SSD,CLO-SER,0.36
S-63,3796.48,3357.1,4533.92,3796.48,3357.1,4533.92,0.26,0.06,0.46,0.08,6.25,0,0.01,34.11,2.54,11.96,35.01,1.42,0.69,3.86,0.02,0.05,2.67,porphyry,SSF,AR,0.06
S-64,3793.43,3291.94,4547.34,3793.43,3291.94,4547.34,0.16,0.08,1.49,0.04,7.04,0.01,0.01,22.03,4.24,5.42,14.18,2.88,4.54,7.89,0.08,0.37,2.58,porphyry,SSF,CLO-SER,0.07
S-65,4026.8,3350.17,4584.36,4026.8,3350.17,4584.36,0.28,0.12,1.14,0.04,2.99,0,0.01,38.46,4.54,18.71,14.82,0.6,3.29,3.28,0.01,0.02,2.59,porphyry,SSD,AR,0.07
S-66,4082.77,3592.71,4555.73,4082.77,3592.71,4555.73,0.19,0.02,0.61,0.03,3.79,0,0.01,29.45,1.65,37.94,13.78,0.73,1.48,4.26,0.01,0.05,2.58,porphyry,SSF,AR,0.14
S-67,4147.36,3665.29,4545.52,4147.36,3665.29,4545.52,0.36,0.01,1.25,0.04,2.95,0,0.01,29.35,3.17,24.52,18.89,0.7,3.31,6.24,0.02,0.09,2.63,porphyry,SSF,AR,0.09
